tab:LeslieCubeData
temperature,polished,white,matt,black
16,-0.001,-0.081,-0.046,-0.083,,
18,0.005,-0.028,-0.013,-0.028,,
20,0.015,0.031,0.024,0.031,
22,0.026,0.091,0.061,0.089,
24,0.035,0.149,0.099,0.148,
26,0.044,0.209,0.137,0.21,
28,0.055,0.27,0.177,0.272,,
30,0.065,0.333,0.216,0.335,,
32,0.074,0.396,0.255,0.399,,
34,0.081,0.461,0.296,0.463,,
36,0.091,0.526,0.338,0.53,,
38,0.101,0.596,0.38,0.602,,
40,0.111,0.66,0.422,0.669,,
42,0.122,0.734,0.468,0.741,,
44,0.133,0.807,0.513,0.812,,
46,0.145,0.877,0.562,0.886,,
48,0.161,0.951,0.609,0.961,,
50,0.172,1.03,0.658,1.034,,
52,0.182,1.102,0.701,1.113,,
54,0.192,1.173,0.755,1.191,,
56,0.204,1.255,0.807,1.268,
58,0.217,1.339,0.859,1.353,
60,0.232,1.421,0.908,1.437,,
62,0.243,1.502,0.962,1.517,
66,0.269,1.672,1.074,1.685,,
70,0.302,1.845,1.191,1.876,,
74,0.331,2.035,1.306,2.048,,
78,0.365,2.218,1.432,2.233,,
82,0.396,2.416,1.563,2.442,,
86,0.427,2.613,1.689,2.645,,
90,0.465,2.817,1.824,2.852
