Zeit (s) Messreihe_Kern1_5_100_R;Spannung, Ch A (V) Messreihe_Kern1_5_100_R;Spannung, Ch B (V) Messreihe_Kern1_5_100_R;Zeit (s) Messreihe_Kern1_6_100_R;Spannung, Ch A (V) Messreihe_Kern1_6_100_R;Spannung, Ch B (V) Messreihe_Kern1_6_100_R;Zeit (s) Messreihe_Kern1_7_100_R_80;Spannung, Ch A (V) Messreihe_Kern1_7_100_R_80;Spannung, Ch B (V) Messreihe_Kern1_7_100_R_80;Zeit (s) Messreihe_Kern2_8_100_R;Spannung, Ch A (V) Messreihe_Kern2_8_100_R;Spannung, Ch B (V) Messreihe_Kern2_8_100_R;Zeit (s) Messreihe_Kern3_9_100;Spannung, Ch A (V) Messreihe_Kern3_9_100;Spannung, Ch B (V) Messreihe_Kern3_9_100;Zeit (s) Messreihe_Kern3_10_100;Spannung, Ch A (V) Messreihe_Kern3_10_100;Spannung, Ch B (V) Messreihe_Kern3_10_100;Zeit (s) Messreihe_Kern3_11_100;Spannung, Ch A (V) Messreihe_Kern3_11_100;Spannung, Ch B (V) Messreihe_Kern3_11_100;Zeit (s) Messreihe_Kern3_12_100_schleife_Muell;Spannung, Ch A (V) Messreihe_Kern3_12_100_schleife_Muell;Spannung, Ch B (V) Messreihe_Kern3_12_100_schleife_Muell;Zeit (s) Messreihe_Kern3_13_100_schleife;Spannung, Ch A (V) Messreihe_Kern3_13_100_schleife;Spannung, Ch B (V) Messreihe_Kern3_13_100_schleife;Zeit (s) Messreihe_Kern3_14_100_spirale_Muell;Spannung, Ch A (V) Messreihe_Kern3_14_100_spirale_Muell;Spannung, Ch B (V) Messreihe_Kern3_14_100_spirale_Muell;Zeit (s) Messreihe_Kern3_15_100_spirale;Spannung, Ch A (V) Messreihe_Kern3_15_100_spirale;Spannung, Ch B (V) Messreihe_Kern3_15_100_spirale;Zeit (s) Messreihe_Kern4_16_100_R_Muell;Spannung, Ch A (V) Messreihe_Kern4_16_100_R_Muell;Spannung, Ch B (V) Messreihe_Kern4_16_100_R_Muell;Zeit (s) Messreihe_Kern4_17_2_R;Spannung, Ch A (V) Messreihe_Kern4_17_2_R;Spannung, Ch B (V) Messreihe_Kern4_17_2_R;Zeit (s) Messreihe_Kern4_18_2_R;Spannung, Ch A (V) Messreihe_Kern4_18_2_R;Spannung, Ch B (V) Messreihe_Kern4_18_2_R
0,000;9,642;0,004;0,000;9,993;0,002;0,000;9,663;0,004;0,000;6,910;0,004;0,000;1,068;0,002;0,000;1,067;0,001;0,000;1,066;0,003;0,000;1,065;0,002;0,000;1,066;0,003;0,000;1,065;0,002;0,000;1,066;0,004;0,000;6,246;0,005;0,000;6,311;0,043;0,000;6,247;0,012
0,025;9,643;0,005;0,025;9,993;0,003;0,025;9,663;0,005;0,025;6,910;0,003;0,025;1,068;0,002;0,025;1,068;0,002;0,025;1,066;0,002;0,025;1,066;0,003;0,025;1,066;0,002;0,025;1,065;0,003;0,025;1,066;0,002;0,025;6,246;0,004;0,025;6,311;0,044;0,025;6,238;0,012
0,050;9,643;0,005;0,050;9,993;0,004;0,050;9,663;0,004;0,050;6,911;0,002;0,050;1,068;0,003;0,050;1,068;0,003;0,050;1,067;0,002;0,050;1,066;0,004;0,050;1,066;0,002;0,050;1,065;0,003;0,050;1,066;0,002;0,050;6,247;0,003;0,050;6,310;0,045;0,050;6,233;0,010
0,075;9,643;0,005;0,075;9,993;0,004;0,075;9,663;0,003;0,075;6,910;0,003;0,075;1,068;0,003;0,075;1,067;0,002;0,075;1,066;0,003;0,075;1,065;0,003;0,075;1,066;0,003;0,075;1,065;0,001;0,075;1,066;0,003;0,075;6,246;0,004;0,075;6,310;0,045;0,075;6,232;0,011
0,100;9,642;0,004;0,100;9,993;0,003;0,100;9,663;0,004;0,100;6,910;0,004;0,100;1,068;0,002;0,100;1,068;0,002;0,100;1,066;0,003;0,100;1,065;0,002;0,100;1,066;0,003;0,100;1,065;0,002;0,100;1,066;0,004;0,100;6,246;0,005;0,100;6,310;0,044;0,100;6,232;0,012
0,125;9,642;0,005;0,125;9,993;0,003;0,125;9,663;0,004;0,125;6,910;0,003;0,125;1,068;0,002;0,125;1,068;0,002;0,125;1,067;0,002;0,125;1,066;0,003;0,125;1,066;0,001;0,125;1,065;0,003;0,125;1,066;0,003;0,125;6,246;0,005;0,125;6,310;0,044;0,125;6,219;0,012
0,150;9,642;0,006;0,150;9,993;0,004;0,150;9,662;0,003;0,150;6,911;0,002;0,150;1,068;0,003;0,150;1,068;0,003;0,150;1,067;0,002;0,150;1,065;0,004;0,150;1,066;0,002;0,150;1,065;0,003;0,150;1,066;0,002;0,150;6,246;0,003;0,150;6,310;0,045;0,150;6,207;0,011
0,175;9,643;0,005;0,175;9,993;0,004;0,175;9,663;0,003;0,175;6,910;0,003;0,175;1,068;0,003;0,175;1,068;0,003;0,175;1,067;0,003;0,175;1,066;0,003;0,175;1,066;0,003;0,175;1,065;0,002;0,175;1,066;0,003;0,175;6,245;0,004;0,175;6,310;0,045;0,175;6,197;0,011
0,200;9,643;0,004;0,200;9,993;0,003;0,200;9,663;0,005;0,200;6,910;0,003;0,200;1,068;0,002;0,200;1,067;0,002;0,200;1,067;0,003;0,200;1,065;0,002;0,200;1,066;0,003;0,200;1,065;0,002;0,200;1,066;0,003;0,200;6,245;0,005;0,200;6,311;0,043;0,200;6,179;0,012
0,225;9,642;0,005;0,225;9,993;0,003;0,225;9,663;0,004;0,225;6,910;0,003;0,225;1,068;0,002;0,225;1,067;0,002;0,225;1,066;0,002;0,225;1,066;0,003;0,225;1,066;0,002;0,225;1,065;0,003;0,225;1,066;0,003;0,225;6,246;0,004;0,225;6,310;0,044;0,225;6,157;0,012
0,250;9,642;0,005;0,250;9,993;0,004;0,250;9,663;0,003;0,250;6,911;0,002;0,250;1,069;0,003;0,250;1,067;0,003;0,250;1,066;0,002;0,250;1,065;0,004;0,250;1,066;0,002;0,250;1,065;0,003;0,250;1,066;0,002;0,250;6,247;0,003;0,250;6,310;0,045;0,250;6,137;0,011
0,275;9,642;0,005;0,275;9,993;0,004;0,275;9,664;0,003;0,275;6,910;0,003;0,275;1,068;0,003;0,275;1,067;0,003;0,275;1,067;0,003;0,275;1,066;0,004;0,275;1,066;0,003;0,275;1,065;0,002;0,275;1,066;0,003;0,275;6,246;0,004;0,275;6,311;0,045;0,275;6,121;0,011
0,300;9,642;0,004;0,300;9,993;0,002;0,300;9,663;0,004;0,300;6,910;0,004;0,300;1,068;0,002;0,300;1,068;0,002;0,300;1,066;0,003;0,300;1,066;0,002;0,300;1,066;0,002;0,300;1,065;0,003;0,300;1,066;0,004;0,300;6,246;0,005;0,300;6,311;0,044;0,300;6,103;0,013
0,325;9,642;0,005;0,325;9,993;0,003;0,325;9,663;0,004;0,325;6,910;0,002;0,325;1,068;0,002;0,325;1,067;0,002;0,325;1,066;0,002;0,325;1,066;0,003;0,325;1,065;0,001;0,325;1,065;0,003;0,325;1,066;0,003;0,325;6,246;0,004;0,325;6,311;0,044;0,325;6,084;0,013
0,350;9,642;0,006;0,350;9,993;0,004;0,350;9,663;0,004;0,350;6,910;0,001;0,350;1,068;0,003;0,350;1,068;0,003;0,350;1,067;0,002;0,350;1,065;0,004;0,350;1,066;0,002;0,350;1,065;0,003;0,350;1,066;0,002;0,350;6,247;0,003;0,350;6,310;0,045;0,350;6,072;0,011
0,375;9,642;0,005;0,375;9,993;0,004;0,375;9,663;0,003;0,375;6,910;0,003;0,375;1,069;0,004;0,375;1,067;0,003;0,375;1,066;0,003;0,375;1,065;0,003;0,375;1,066;0,003;0,375;1,065;0,002;0,375;1,066;0,003;0,375;6,246;0,004;0,375;6,311;0,046;0,375;6,058;0,012
0,400;9,638;0,004;0,400;9,993;0,003;0,400;9,663;0,004;0,400;6,909;0,003;0,400;1,068;0,002;0,400;1,067;0,001;0,400;1,067;0,003;0,400;1,065;0,002;0,400;1,066;0,003;0,400;1,065;0,002;0,400;1,066;0,004;0,400;6,246;0,005;0,400;6,311;0,044;0,400;6,046;0,013
0,425;9,638;0,005;0,425;9,993;0,003;0,425;9,663;0,005;0,425;6,909;0,002;0,425;1,069;0,002;0,425;1,068;0,002;0,425;1,066;0,002;0,425;1,066;0,003;0,425;1,066;0,002;0,425;1,066;0,004;0,425;1,066;0,003;0,425;6,246;0,004;0,425;6,311;0,045;0,425;6,034;0,013
0,450;9,640;0,006;0,450;9,993;0,004;0,450;9,663;0,003;0,450;6,910;0,002;0,450;1,068;0,003;0,450;1,067;0,003;0,450;1,066;0,002;0,450;1,065;0,004;0,450;1,066;0,002;0,450;1,065;0,002;0,450;1,066;0,002;0,450;6,247;0,003;0,450;6,310;0,045;0,450;6,017;0,012
0,475;9,639;0,005;0,475;9,993;0,003;0,475;9,664;0,004;0,475;6,910;0,003;0,475;1,068;0,003;0,475;1,068;0,003;0,475;1,066;0,003;0,475;1,065;0,003;0,475;1,066;0,004;0,475;1,065;0,001;0,475;1,066;0,003;0,475;6,246;0,004;0,475;6,311;0,045;0,475;5,989;0,012
0,500;9,637;0,004;0,500;9,993;0,003;0,500;9,663;0,004;0,500;6,909;0,004;0,500;1,068;0,002;0,500;1,067;0,002;0,500;1,066;0,003;0,500;1,066;0,002;0,500;1,065;0,003;0,500;1,065;0,002;0,500;1,066;0,004;0,500;6,246;0,005;0,500;6,311;0,044;0,500;5,951;0,014
0,525;9,621;0,005;0,525;9,993;0,003;0,525;9,663;0,004;0,525;6,910;0,003;0,525;1,068;0,002;0,525;1,067;0,002;0,525;1,066;0,002;0,525;1,065;0,003;0,525;1,064;0,002;0,525;1,065;0,003;0,525;1,066;0,003;0,525;6,247;0,005;0,525;6,311;0,044;0,525;5,900;0,013
0,550;9,600;0,005;0,550;9,993;0,004;0,550;9,663;0,004;0,550;6,910;0,002;0,550;1,067;0,003;0,550;1,068;0,004;0,550;1,066;0,002;0,550;1,065;0,004;0,550;1,062;0,003;0,550;1,065;0,002;0,550;1,066;0,002;0,550;6,247;0,003;0,550;6,310;0,045;0,550;5,843;0,012
0,575;9,589;0,005;0,575;9,993;0,004;0,575;9,664;0,004;0,575;6,909;0,003;0,575;1,064;0,003;0,575;1,068;0,003;0,575;1,066;0,003;0,575;1,065;0,003;0,575;1,059;0,004;0,575;1,065;0,002;0,575;1,066;0,003;0,575;6,247;0,004;0,575;6,311;0,045;0,575;5,778;0,013
0,600;9,587;0,003;0,600;9,993;0,003;0,600;9,663;0,004;0,600;6,909;0,004;0,600;1,062;0,002;0,600;1,067;0,002;0,600;1,066;0,003;0,600;1,066;0,003;0,600;1,058;0,003;0,600;1,065;0,002;0,600;1,066;0,004;0,600;6,247;0,005;0,600;6,311;0,044;0,600;5,714;0,014
0,625;9,587;0,005;0,625;9,993;0,003;0,625;9,663;0,005;0,625;6,909;0,003;0,625;1,061;0,002;0,625;1,067;0,002;0,625;1,066;0,002;0,625;1,066;0,003;0,625;1,056;0,002;0,625;1,065;0,003;0,625;1,066;0,003;0,625;6,247;0,004;0,625;6,310;0,044;0,625;5,678;0,014
0,650;9,572;0,005;0,650;9,993;0,004;0,650;9,663;0,003;0,650;6,910;0,002;0,650;1,059;0,004;0,650;1,067;0,003;0,650;1,066;0,002;0,650;1,066;0,004;0,650;1,054;0,003;0,650;1,065;0,003;0,650;1,066;0,002;0,650;6,248;0,003;0,650;6,310;0,046;0,650;5,650;0,013
0,675;9,549;0,004;0,675;9,993;0,004;0,675;9,664;0,003;0,675;6,909;0,002;0,675;1,057;0,004;0,675;1,067;0,003;0,675;1,066;0,003;0,675;1,065;0,003;0,675;1,052;0,004;0,675;1,065;0,002;0,675;1,066;0,003;0,675;6,247;0,004;0,675;6,311;0,046;0,675;5,622;0,013
0,700;9,523;0,003;0,700;9,993;0,003;0,700;9,664;0,005;0,700;6,909;0,004;0,700;1,056;0,003;0,700;1,067;0,002;0,700;1,066;0,003;0,700;1,066;0,003;0,700;1,049;0,004;0,700;1,065;0,002;0,700;1,066;0,004;0,700;6,247;0,005;0,700;6,312;0,044;0,700;5,605;0,015
0,725;9,494;0,004;0,725;9,993;0,003;0,725;9,664;0,005;0,725;6,909;0,002;0,725;1,055;0,002;0,725;1,067;0,002;0,725;1,067;0,002;0,725;1,065;0,003;0,725;1,048;0,003;0,725;1,065;0,003;0,725;1,066;0,003;0,725;6,247;0,005;0,725;6,311;0,044;0,725;5,590;0,015
0,750;9,474;0,005;0,750;9,993;0,004;0,750;9,663;0,004;0,750;6,910;0,002;0,750;1,054;0,003;0,750;1,066;0,003;0,750;1,067;0,002;0,750;1,066;0,005;0,750;1,046;0,003;0,750;1,065;0,003;0,750;1,066;0,002;0,750;6,247;0,004;0,750;6,311;0,046;0,750;5,568;0,013
0,775;9,449;0,004;0,775;9,993;0,004;0,775;9,664;0,004;0,775;6,909;0,003;0,775;1,054;0,004;0,775;1,066;0,003;0,775;1,067;0,003;0,775;1,066;0,003;0,775;1,045;0,005;0,775;1,065;0,001;0,775;1,066;0,003;0,775;6,246;0,004;0,775;6,311;0,045;0,775;5,544;0,013
0,800;9,410;0,003;0,800;9,993;0,002;0,800;9,664;0,004;0,800;6,909;0,003;0,800;1,053;0,003;0,800;1,066;0,002;0,800;1,066;0,003;0,800;1,065;0,002;0,800;1,043;0,004;0,800;1,065;0,002;0,800;1,066;0,004;0,800;6,246;0,005;0,800;6,311;0,044;0,800;5,522;0,015
0,825;9,369;0,004;0,825;9,993;0,003;0,825;9,663;0,005;0,825;6,909;0,002;0,825;1,053;0,002;0,825;1,066;0,002;0,825;1,066;0,002;0,825;1,066;0,003;0,825;1,042;0,003;0,825;1,065;0,003;0,825;1,066;0,003;0,825;6,246;0,005;0,825;6,311;0,044;0,825;5,502;0,015
0,850;9,322;0,004;0,850;9,993;0,004;0,850;9,664;0,004;0,850;6,910;0,002;0,850;1,052;0,004;0,850;1,066;0,004;0,850;1,066;0,002;0,850;1,065;0,004;0,850;1,042;0,003;0,850;1,065;0,003;0,850;1,066;0,002;0,850;6,247;0,003;0,850;6,304;0,046;0,850;5,473;0,014
0,875;9,278;0,003;0,875;9,993;0,004;0,875;9,664;0,003;0,875;6,909;0,003;0,875;1,052;0,004;0,875;1,066;0,003;0,875;1,066;0,003;0,875;1,065;0,003;0,875;1,041;0,005;0,875;1,065;0,001;0,875;1,065;0,002;0,875;6,246;0,004;0,875;6,247;0,046;0,875;5,434;0,014
0,900;9,254;0,002;0,900;9,993;0,003;0,900;9,664;0,004;0,900;6,909;0,004;0,900;1,051;0,003;0,900;1,065;0,002;0,900;1,067;0,003;0,900;1,066;0,002;0,900;1,040;0,004;0,900;1,065;0,002;0,900;1,066;0,004;0,900;6,247;0,005;0,900;6,191;0,045;0,900;5,392;0,015
0,925;9,250;0,003;0,925;9,993;0,003;0,925;9,663;0,005;0,925;6,909;0,002;0,925;1,051;0,003;0,925;1,064;0,002;0,925;1,066;0,002;0,925;1,066;0,003;0,925;1,039;0,004;0,925;1,065;0,003;0,925;1,066;0,004;0,925;6,247;0,005;0,925;6,137;0,045;0,925;5,345;0,015
0,950;9,250;0,004;0,950;9,993;0,004;0,950;9,664;0,004;0,950;6,910;0,002;0,950;1,050;0,004;0,950;1,064;0,003;0,950;1,066;0,001;0,950;1,066;0,004;0,950;1,038;0,004;0,950;1,065;0,003;0,950;1,066;0,002;0,950;6,247;0,004;0,950;6,090;0,047;0,950;5,287;0,015
0,975;9,266;0,003;0,975;9,993;0,004;0,975;9,664;0,003;0,975;6,909;0,003;0,975;1,049;0,004;0,975;1,063;0,003;0,975;1,066;0,003;0,975;1,066;0,003;0,975;1,037;0,005;0,975;1,065;0,001;0,975;1,066;0,003;0,975;6,246;0,004;0,975;6,040;0,047;0,975;5,232;0,014
1,000;9,275;0,002;1,000;9,993;0,003;1,000;9,664;0,005;1,000;6,909;0,004;1,000;1,048;0,003;1,000;1,062;0,002;1,000;1,067;0,003;1,000;1,066;0,003;1,000;1,036;0,005;1,000;1,065;0,002;1,000;1,066;0,004;1,000;6,245;0,005;1,000;5,998;0,045;1,000;5,176;0,016
1,025;9,275;0,003;1,025;9,993;0,003;1,025;9,664;0,005;1,025;6,909;0,002;1,025;1,046;0,003;1,025;1,060;0,002;1,025;1,066;0,002;1,025;1,066;0,003;1,025;1,034;0,004;1,025;1,065;0,003;1,025;1,066;0,002;1,025;6,246;0,005;1,025;5,958;0,046;1,025;5,122;0,017
1,050;9,275;0,004;1,050;9,993;0,004;1,050;9,664;0,004;1,050;6,897;0,002;1,050;1,046;0,004;1,050;1,060;0,004;1,050;1,067;0,002;1,050;1,065;0,004;1,050;1,033;0,004;1,050;1,065;0,003;1,050;1,066;0,002;1,050;6,247;0,004;1,050;5,908;0,047;1,050;5,080;0,015
1,075;9,276;0,003;1,075;9,993;0,004;1,075;9,665;0,004;1,075;6,884;0,003;1,075;1,046;0,004;1,075;1,058;0,003;1,075;1,066;0,003;1,075;1,066;0,003;1,075;1,031;0,005;1,075;1,065;0,002;1,075;1,066;0,003;1,075;6,247;0,004;1,075;5,854;0,048;1,075;5,068;0,015
1,100;9,276;0,003;1,100;9,993;0,003;1,100;9,664;0,004;1,100;6,882;0,003;1,100;1,045;0,003;1,100;1,057;0,002;1,100;1,066;0,003;1,100;1,066;0,003;1,100;1,029;0,005;1,100;1,065;0,002;1,100;1,066;0,004;1,100;6,246;0,006;1,100;5,815;0,047;1,100;5,065;0,017
1,125;9,275;0,003;1,125;9,993;0,003;1,125;9,664;0,005;1,125;6,853;0,003;1,125;1,045;0,003;1,125;1,056;0,003;1,125;1,067;0,002;1,125;1,065;0,003;1,125;1,028;0,004;1,125;1,065;0,004;1,125;1,066;0,003;1,125;6,246;0,005;1,125;5,798;0,046;1,125;5,063;0,016
1,150;9,276;0,004;1,150;9,993;0,004;1,150;9,664;0,004;1,150;6,809;0,002;1,150;1,044;0,004;1,150;1,055;0,004;1,150;1,067;0,002;1,150;1,066;0,004;1,150;1,026;0,004;1,150;1,065;0,003;1,150;1,066;0,002;1,150;6,247;0,004;1,150;5,797;0,048;1,150;5,057;0,015
1,175;9,274;0,003;1,175;9,993;0,004;1,175;9,665;0,004;1,175;6,783;0,003;1,175;1,042;0,005;1,175;1,055;0,004;1,175;1,066;0,003;1,175;1,066;0,003;1,175;1,026;0,005;1,175;1,065;0,002;1,175;1,066;0,003;1,175;6,247;0,004;1,175;5,797;0,048;1,175;5,049;0,015
1,200;9,272;0,002;1,200;9,993;0,003;1,200;9,665;0,004;1,200;6,769;0,004;1,200;1,039;0,003;1,200;1,054;0,003;1,200;1,067;0,004;1,200;1,066;0,002;1,200;1,024;0,005;1,200;1,066;0,003;1,200;1,066;0,004;1,200;6,247;0,005;1,200;5,798;0,047;1,200;5,030;0,017
1,225;9,267;0,003;1,225;9,993;0,003;1,225;9,664;0,005;1,225;6,750;0,002;1,225;1,036;0,004;1,225;1,053;0,002;1,225;1,066;0,002;1,225;1,065;0,003;1,225;1,022;0,004;1,225;1,065;0,003;1,225;1,066;0,003;1,225;6,247;0,005;1,225;5,797;0,046;1,225;4,985;0,017
1,250;9,260;0,004;1,250;9,993;0,004;1,250;9,664;0,004;1,250;6,722;0,002;1,250;1,034;0,005;1,250;1,052;0,004;1,250;1,067;0,002;1,250;1,065;0,004;1,250;1,020;0,005;1,250;1,065;0,002;1,250;1,066;0,002;1,250;6,247;0,004;1,250;5,797;0,048;1,250;4,939;0,016
1,275;9,238;0,003;1,275;9,993;0,004;1,275;9,665;0,003;1,275;6,699;0,003;1,275;1,032;0,005;1,275;1,051;0,003;1,275;1,066;0,003;1,275;1,065;0,003;1,275;1,018;0,006;1,275;1,065;0,002;1,275;1,066;0,003;1,275;6,246;0,004;1,275;5,798;0,048;1,275;4,931;0,016
1,300;9,203;0,002;1,300;9,993;0,003;1,300;9,664;0,004;1,300;6,682;0,004;1,300;1,031;0,004;1,300;1,051;0,003;1,300;1,066;0,003;1,300;1,065;0,002;1,300;1,016;0,006;1,300;1,065;0,002;1,300;1,066;0,004;1,300;6,246;0,005;1,300;5,797;0,047;1,300;4,929;0,018
1,325;9,158;0,002;1,325;9,993;0,003;1,325;9,664;0,005;1,325;6,666;0,002;1,325;1,029;0,004;1,325;1,050;0,003;1,325;1,066;0,002;1,325;1,066;0,003;1,325;1,015;0,004;1,325;1,065;0,003;1,325;1,066;0,003;1,325;6,247;0,005;1,325;5,798;0,047;1,325;4,929;0,017
1,350;9,116;0,003;1,350;9,993;0,004;1,350;9,664;0,004;1,350;6,642;0,002;1,350;1,027;0,005;1,350;1,049;0,004;1,350;1,066;0,002;1,350;1,066;0,004;1,350;1,015;0,005;1,350;1,065;0,002;1,350;1,066;0,002;1,350;6,247;0,004;1,350;5,804;0,048;1,350;4,929;0,016
1,375;9,082;0,002;1,375;9,993;0,004;1,375;9,664;0,003;1,375;6,617;0,003;1,375;1,025;0,006;1,375;1,047;0,004;1,375;1,066;0,003;1,375;1,066;0,003;1,375;1,015;0,006;1,375;1,065;0,001;1,375;1,066;0,003;1,375;6,247;0,003;1,375;5,807;0,048;1,375;4,928;0,016
1,400;9,053;0,001;1,400;9,993;0,003;1,400;9,664;0,004;1,400;6,591;0,003;1,400;1,023;0,005;1,400;1,045;0,003;1,400;1,064;0,003;1,400;1,066;0,002;1,400;1,015;0,005;1,400;1,065;0,002;1,400;1,066;0,004;1,400;6,247;0,005;1,400;5,807;0,047;1,400;4,929;0,018
1,425;9,033;0,002;1,425;9,993;0,003;1,425;9,663;0,005;1,425;6,561;0,003;1,425;1,020;0,004;1,425;1,042;0,003;1,425;1,064;0,002;1,425;1,066;0,003;1,425;1,014;0,004;1,425;1,065;0,004;1,425;1,066;0,003;1,425;6,247;0,005;1,425;5,806;0,047;1,425;4,930;0,018
1,450;9,017;0,002;1,450;9,993;0,004;1,450;9,663;0,004;1,450;6,529;0,002;1,450;1,020;0,005;1,450;1,040;0,004;1,450;1,063;0,002;1,450;1,065;0,004;1,450;1,012;0,005;1,450;1,065;0,003;1,450;1,066;0,002;1,450;6,248;0,004;1,450;5,806;0,048;1,450;4,931;0,016
1,475;9,009;0,002;1,475;9,993;0,004;1,475;9,664;0,004;1,475;6,494;0,003;1,475;1,020;0,006;1,475;1,038;0,005;1,475;1,063;0,003;1,475;1,065;0,003;1,475;1,010;0,006;1,475;1,065;0,002;1,475;1,066;0,003;1,475;6,247;0,004;1,475;5,801;0,048;1,475;4,931;0,016
1,500;8,991;3,977E-4;1,500;9,993;0,003;1,500;9,664;0,004;1,500;6,456;0,004;1,500;1,020;0,005;1,500;1,035;0,003;1,500;1,062;0,004;1,500;1,066;0,003;1,500;1,009;0,006;1,500;1,065;0,002;1,500;1,066;0,004;1,500;6,247;0,005;1,500;5,761;0,047;1,500;4,931;0,018
1,525;8,951;0,001;1,525;9,993;0,003;1,525;9,663;0,005;1,525;6,422;0,002;1,525;1,019;0,004;1,525;1,032;0,004;1,525;1,061;0,002;1,525;1,066;0,003;1,525;1,006;0,005;1,525;1,065;0,003;1,525;1,066;0,003;1,525;6,247;0,005;1,525;5,691;0,047;1,525;4,931;0,018
1,550;8,904;0,002;1,550;9,993;0,004;1,550;9,663;0,004;1,550;6,382;0,002;1,550;1,020;0,006;1,550;1,031;0,005;1,550;1,060;0,002;1,550;1,066;0,004;1,550;1,004;0,006;1,550;1,065;0,003;1,550;1,066;0,002;1,550;6,248;0,004;1,550;5,624;0,049;1,550;4,931;0,016
1,575;8,849;6,565E-4;1,575;9,993;0,004;1,575;9,663;0,003;1,575;6,349;0,003;1,575;1,019;0,005;1,575;1,030;0,005;1,575;1,058;0,003;1,575;1,066;0,004;1,575;1,001;0,007;1,575;1,065;0,002;1,575;1,064;0,003;1,575;6,247;0,004;1,575;5,552;0,049;1,575;4,931;0,016
1,600;8,804;-4,006E-4;1,600;9,993;0,003;1,600;9,664;0,005;1,600;6,317;0,004;1,600;1,020;0,005;1,600;1,028;0,004;1,600;1,056;0,003;1,600;1,066;0,002;1,600;0,999;0,007;1,600;1,065;0,002;1,600;1,064;0,004;1,600;6,247;0,005;1,600;5,459;0,048;1,600;4,932;0,018
1,625;8,759;-1,907E-4;1,625;9,993;0,003;1,625;9,663;0,005;1,625;6,279;0,002;1,625;1,019;0,004;1,625;1,025;0,004;1,625;1,055;0,003;1,625;1,065;0,003;1,625;0,997;0,005;1,625;1,066;0,004;1,625;1,063;0,003;1,625;6,247;0,005;1,625;5,357;0,048;1,625;4,931;0,018
1,650;8,712;3,513E-4;1,650;9,993;0,004;1,650;9,663;0,004;1,650;6,220;0,002;1,650;1,020;0,005;1,650;1,024;0,006;1,650;1,054;0,002;1,650;1,066;0,004;1,650;0,995;0,006;1,650;1,065;0,002;1,650;1,063;0,003;1,650;6,248;0,004;1,650;5,242;0,050;1,650;4,931;0,016
1,675;8,657;-8,108E-4;1,675;9,993;0,004;1,675;9,664;0,004;1,675;6,158;0,003;1,675;1,019;0,005;1,675;1,022;0,005;1,675;1,053;0,003;1,675;1,065;0,003;1,675;0,994;0,007;1,675;1,065;0,002;1,675;1,062;0,003;1,675;6,248;0,004;1,675;5,133;0,050;1,675;4,931;0,016
1,700;8,591;-0,001;1,700;9,993;0,003;1,700;9,664;0,005;1,700;6,095;0,003;1,700;1,019;0,005;1,700;1,021;0,004;1,700;1,052;0,004;1,700;1,065;0,002;1,700;0,992;0,007;1,700;1,065;0,002;1,700;1,061;0,004;1,700;6,247;0,005;1,700;5,069;0,049;1,700;4,931;0,018
1,725;8,523;-0,001;1,725;9,993;0,003;1,725;9,663;0,005;1,725;6,051;0,002;1,725;1,018;0,004;1,725;1,020;0,004;1,725;1,050;0,003;1,725;1,066;0,003;1,725;0,991;0,005;1,725;1,065;0,003;1,725;1,060;0,004;1,725;6,248;0,005;1,725;5,016;0,050;1,725;4,930;0,018
