Part 1
Angle dispersion of the radiation

* voltageOffset, -0.030,V
* error_angle, 0.5,°
* voltmeterRange,10,V

# tab:angleDispersion
angle,diodeVoltage
-54,-0.030
-52,-0.030
-50,-0.030
-48,-0.030
-46,-0.030
-44,-0.031
-42,-0.031
-40,-0.031
-38,-0.032
-36,-0.032
-34,-0.032
-32,-0.033
-30,-0.035
-28,-0.036
-26,-0.038
-24,-0.040
-22,-0.040
-20,-0.038
-18,0.028
-16,0.020
-14,0.15
-12,0.37
-10,0.68
-8,1.09
-6,1.55
-4,1.79
-2,1.90
0,1.95
2,1.87
4,1.60
6,1.22
8,0.96
10,0.69
12,0.40
14,0.083
16,-0.004
18,-0.030
20,-0.037
25,-0.037
30,-0.034
35,-0.031
40,-0.031
45,-0.030
50,-0.030
65,-0.030
70,-0.030
75,-0.030
80,-0.030
75,-0.030
90,-0.030
