tab:10secMeasurement
garbage,shit,counts,time,trash,crap,piss
2,153,15,10000000,65,128,0
2,306,13,10000000,65,128,0
2,458,10,10000000,65,128,0
2,611,13,10000000,65,128,0
2,763,12,10000000,65,128,0
2,916,13,10000000,65,128,0
2,1069,15,10000000,65,128,0
2,1221,13,10000000,65,128,0
2,1374,13,10000000,65,128,0
2,1526,8,10000000,65,128,0
2,1679,7,10000000,65,128,0
2,1832,13,10000000,65,128,0
2,1984,10,10000000,65,128,0
2,2137,10,10000000,65,128,0
2,2289,16,10000000,65,128,0
2,2442,10,10000000,65,128,0
2,2594,10,10000000,65,128,0
2,2747,10,10000000,65,128,0
2,2900,11,10000000,65,128,0
2,3052,16,10000000,65,128,0
2,3205,7,10000000,65,128,0
2,3357,16,10000000,65,128,0
2,3510,13,10000000,65,128,0
2,3663,9,10000000,65,128,0
2,3815,15,10000000,65,128,0
2,3968,7,10000000,65,128,0
2,4120,16,10000000,65,128,0
2,4273,16,10000000,65,128,0
2,4426,13,10000000,65,128,0
2,4578,13,10000000,65,128,0
2,4731,11,10000000,65,128,0
2,4883,14,10000000,65,128,0
2,5036,14,10000000,65,128,0
2,5188,11,10000000,65,128,0
2,5341,10,10000000,65,128,0
2,5494,13,10000000,65,128,0
2,5646,10,10000000,65,128,0
2,5799,14,10000000,65,128,0
2,5951,13,10000000,65,128,0
2,6104,14,10000000,65,128,0
2,6257,12,10000000,65,128,0
2,6409,7,10000000,65,128,0
2,6562,6,10000000,65,128,0
2,6714,12,10000000,65,128,0
2,6867,17,10000000,65,128,0
2,7020,9,10000000,65,128,0
2,7172,13,10000000,65,128,0
2,7325,11,10000000,65,128,0
2,7477,13,10000000,65,128,0
2,7630,14,10000000,65,128,0
2,7782,17,10000000,65,128,0
2,7935,12,10000000,65,128,0
2,8088,11,10000000,65,128,0
2,8240,12,10000000,65,128,0
2,8393,13,10000000,65,128,0
2,8545,8,10000000,65,128,0
2,8698,13,10000000,65,128,0
2,8851,6,10000000,65,128,0
2,9003,12,10000000,65,128,0
2,9156,13,10000000,65,128,0
2,9308,8,10000000,65,128,0
2,9461,9,10000000,65,128,0
2,9614,15,10000000,65,128,0
2,9766,10,10000000,65,128,0
2,9919,13,10000000,65,128,0
2,10071,6,10000000,65,128,0
2,10224,19,10000000,65,128,0
2,10376,13,10000000,65,128,0
2,10529,10,10000000,65,128,0
2,10682,14,10000000,65,128,0
2,10834,7,10000000,65,128,0
2,10987,11,10000000,65,128,0
2,11139,9,10000000,65,128,0
2,11292,11,10000000,65,128,0
2,11445,10,10000000,65,128,0
