tab:1secMeasurement
garbage,trash,count,time,shit,crap,piss
2,16,0,1000000,65,128,0
2,31,0,1000000,65,128,0
2,46,0,1000000,65,128,0
2,62,0,1000000,65,128,0
2,77,1,1000000,65,128,0
2,92,1,1000000,65,128,0
2,107,0,1000000,65,128,0
2,123,2,1000000,65,128,0
2,138,1,1000000,65,128,0
2,153,2,1000000,65,128,0
2,168,2,1000000,65,128,0
2,184,1,1000000,65,128,0
2,199,2,1000000,65,128,0
2,214,0,1000000,65,128,0
2,229,0,1000000,65,128,0
2,245,0,1000000,65,128,0
2,260,1,1000000,65,128,0
2,275,0,1000000,65,128,0
2,290,1,1000000,65,128,0
2,306,1,1000000,65,128,0
2,321,2,1000000,65,128,0
2,336,0,1000000,65,128,0
2,351,0,1000000,65,128,0
2,367,1,1000000,65,128,0
2,382,0,1000000,65,128,0
2,397,0,1000000,65,128,0
2,412,0,1000000,65,128,0
2,428,2,1000000,65,128,0
2,443,0,1000000,65,128,0
2,458,1,1000000,65,128,0
2,474,2,1000000,65,128,0
2,489,2,1000000,65,128,0
2,504,1,1000000,65,128,0
2,519,1,1000000,65,128,0
2,535,0,1000000,65,128,0
2,550,0,1000000,65,128,0
2,565,2,1000000,65,128,0
2,580,2,1000000,65,128,0
2,596,1,1000000,65,128,0
2,611,1,1000000,65,128,0
2,626,1,1000000,65,128,0
2,641,6,1000000,65,128,0
2,657,1,1000000,65,128,0
2,672,0,1000000,65,128,0
2,687,1,1000000,65,128,0
2,702,1,1000000,65,128,0
2,718,1,1000000,65,128,0
2,733,2,1000000,65,128,0
2,748,1,1000000,65,128,0
2,763,0,1000000,65,128,0
2,779,0,1000000,65,128,0
2,794,2,1000000,65,128,0
2,809,1,1000000,65,128,0
2,824,0,1000000,65,128,0
2,840,2,1000000,65,128,0
2,855,2,1000000,65,128,0
2,870,0,1000000,65,128,0
2,886,0,1000000,65,128,0
2,901,1,1000000,65,128,0
2,916,2,1000000,65,128,0
2,931,2,1000000,65,128,0
2,947,6,1000000,65,128,0
2,962,4,1000000,65,128,0
2,977,0,1000000,65,128,0
2,992,2,1000000,65,128,0
2,1008,1,1000000,65,128,0
2,1023,1,1000000,65,128,0
2,1038,1,1000000,65,128,0
2,1053,2,1000000,65,128,0
2,1069,0,1000000,65,128,0
2,1084,0,1000000,65,128,0
2,1099,1,1000000,65,128,0
2,1114,1,1000000,65,128,0
2,1130,2,1000000,65,128,0
2,1145,0,1000000,65,128,0
2,1160,3,1000000,65,128,0
2,1175,0,1000000,65,128,0
2,1191,1,1000000,65,128,0
2,1206,0,1000000,65,128,0
2,1221,0,1000000,65,128,0
2,1236,0,1000000,65,128,0
2,1252,0,1000000,65,128,0
2,1267,2,1000000,65,128,0
2,1282,0,1000000,65,128,0
2,1297,1,1000000,65,128,0
2,1313,0,1000000,65,128,0
2,1328,4,1000000,65,128,0
2,1343,2,1000000,65,128,0
2,1359,0,1000000,65,128,0
2,1374,1,1000000,65,128,0
2,1389,1,1000000,65,128,0
2,1404,2,1000000,65,128,0
2,1420,0,1000000,65,128,0
2,1435,3,1000000,65,128,0
2,1450,2,1000000,65,128,0
2,1465,1,1000000,65,128,0
2,1481,2,1000000,65,128,0
2,1496,1,1000000,65,128,0
2,1511,1,1000000,65,128,0
2,1526,0,1000000,65,128,0
2,1542,1,1000000,65,128,0
2,1557,1,1000000,65,128,0
2,1572,0,1000000,65,128,0
2,1587,1,1000000,65,128,0
2,1603,3,1000000,65,128,0
2,1618,1,1000000,65,128,0
2,1633,1,1000000,65,128,0
2,1648,0,1000000,65,128,0
2,1664,0,1000000,65,128,0
2,1679,0,1000000,65,128,0
2,1694,0,1000000,65,128,0
2,1709,2,1000000,65,128,0
2,1725,3,1000000,65,128,0
2,1740,0,1000000,65,128,0
2,1755,2,1000000,65,128,0
2,1771,0,1000000,65,128,0
2,1786,1,1000000,65,128,0
2,1801,2,1000000,65,128,0
2,1816,1,1000000,65,128,0
2,1832,0,1000000,65,128,0
2,1847,2,1000000,65,128,0
2,1862,1,1000000,65,128,0
2,1877,2,1000000,65,128,0
2,1893,0,1000000,65,128,0
2,1908,0,1000000,65,128,0
2,1923,0,1000000,65,128,0
2,1938,3,1000000,65,128,0
2,1954,1,1000000,65,128,0
2,1969,2,1000000,65,128,0
2,1984,2,1000000,65,128,0
2,1999,2,1000000,65,128,0
2,2015,1,1000000,65,128,0
2,2030,1,1000000,65,128,0
2,2045,3,1000000,65,128,0
2,2060,1,1000000,65,128,0
2,2076,0,1000000,65,128,0
2,2091,1,1000000,65,128,0
2,2106,0,1000000,65,128,0
2,2121,3,1000000,65,128,0
2,2137,1,1000000,65,128,0
2,2152,1,1000000,65,128,0
2,2167,1,1000000,65,128,0
2,2183,1,1000000,65,128,0
2,2198,2,1000000,65,128,0
2,2213,1,1000000,65,128,0
2,2228,1,1000000,65,128,0
2,2244,1,1000000,65,128,0
2,2259,1,1000000,65,128,0
2,2274,1,1000000,65,128,0
2,2289,3,1000000,65,128,0
2,2305,1,1000000,65,128,0
2,2320,2,1000000,65,128,0
2,2335,2,1000000,65,128,0
2,2350,0,1000000,65,128,0
2,2366,1,1000000,65,128,0
2,2381,4,1000000,65,128,0
2,2396,1,1000000,65,128,0
2,2411,0,1000000,65,128,0
2,2427,1,1000000,65,128,0
2,2442,2,1000000,65,128,0
2,2457,0,1000000,65,128,0
2,2472,1,1000000,65,128,0
2,2488,0,1000000,65,128,0
2,2503,0,1000000,65,128,0
2,2518,1,1000000,65,128,0
2,2533,0,1000000,65,128,0
2,2549,0,1000000,65,128,0
2,2564,2,1000000,65,128,0
2,2579,0,1000000,65,128,0
2,2594,0,1000000,65,128,0
2,2610,2,1000000,65,128,0
2,2625,1,1000000,65,128,0
2,2640,2,1000000,65,128,0
2,2656,1,1000000,65,128,0
2,2671,0,1000000,65,128,0
2,2686,1,1000000,65,128,0
2,2701,2,1000000,65,128,0
2,2717,0,1000000,65,128,0
2,2732,0,1000000,65,128,0
2,2747,0,1000000,65,128,0
2,2762,1,1000000,65,128,0
2,2778,0,1000000,65,128,0
2,2793,0,1000000,65,128,0
2,2808,2,1000000,65,128,0
2,2823,2,1000000,65,128,0
2,2839,2,1000000,65,128,0
2,2854,2,1000000,65,128,0
2,2869,1,1000000,65,128,0
2,2884,0,1000000,65,128,0
2,2900,3,1000000,65,128,0
2,2915,0,1000000,65,128,0
2,2930,0,1000000,65,128,0
2,2945,2,1000000,65,128,0
2,2961,2,1000000,65,128,0
2,2976,2,1000000,65,128,0
2,2991,1,1000000,65,128,0
2,3006,2,1000000,65,128,0
2,3022,1,1000000,65,128,0
2,3037,0,1000000,65,128,0
2,3052,2,1000000,65,128,0
2,3068,0,1000000,65,128,0
2,3083,4,1000000,65,128,0
2,3098,1,1000000,65,128,0
2,3113,0,1000000,65,128,0
2,3129,1,1000000,65,128,0
2,3144,2,1000000,65,128,0
2,3159,0,1000000,65,128,0
2,3174,2,1000000,65,128,0
2,3190,0,1000000,65,128,0
2,3205,5,1000000,65,128,0
2,3220,0,1000000,65,128,0
2,3235,0,1000000,65,128,0
2,3251,0,1000000,65,128,0
2,3266,3,1000000,65,128,0
2,3281,1,1000000,65,128,0
2,3296,0,1000000,65,128,0
2,3312,0,1000000,65,128,0
2,3327,1,1000000,65,128,0
2,3342,1,1000000,65,128,0
2,3357,0,1000000,65,128,0
2,3373,1,1000000,65,128,0
2,3388,0,1000000,65,128,0
2,3403,0,1000000,65,128,0
2,3418,0,1000000,65,128,0
2,3434,1,1000000,65,128,0
2,3449,1,1000000,65,128,0
2,3464,2,1000000,65,128,0
2,3479,0,1000000,65,128,0
2,3495,2,1000000,65,128,0
