val:distance,163,3
val:area,11
tab:ResponsivityData
garbage,trash,counts,time,shit,crap,piss
2,153,248,10000000,65,144,0
2,306,267,10000000,65,144,0
2,458,271,10000000,65,144,0
2,611,271,10000000,65,144,0
2,763,264,10000000,65,144,0
2,916,271,10000000,65,144,0
2,1069,285,10000000,65,144,0
2,1221,221,10000000,65,144,0
2,1374,248,10000000,65,144,0
2,1526,249,10000000,65,144,0
2,1679,212,10000000,65,144,0
2,1832,268,10000000,65,144,0
2,1984,249,10000000,65,144,0
2,2137,266,10000000,65,144,0
2,2289,238,10000000,65,144,0
2,2442,273,10000000,65,144,0
