tab:BariumDecayData
garbage,trash,counts,time,shit,crap,piss
2,153,1100,10000000,65,144,0
2,306,1027,10000000,65,144,0
2,458,985,10000000,65,144,0
2,611,939,10000000,65,144,0
2,763,880,10000000,65,144,0
2,916,872,10000000,65,144,0
2,1069,820,10000000,65,144,0
2,1221,797,10000000,65,144,0
2,1374,827,10000000,65,144,0
2,1526,695,10000000,65,144,0
2,1679,693,10000000,65,144,0
2,1832,672,10000000,65,144,0
2,1984,652,10000000,65,144,0
2,2137,577,10000000,65,144,0
2,2289,547,10000000,65,144,0
2,2442,541,10000000,65,144,0
2,2594,490,10000000,65,144,0
2,2747,531,10000000,65,144,0
2,2900,497,10000000,65,144,0
2,3052,467,10000000,65,144,0
2,3205,440,10000000,65,144,0
2,3357,406,10000000,65,144,0
2,3510,405,10000000,65,144,0
2,3663,396,10000000,65,144,0
2,3815,397,10000000,65,144,0
2,3968,370,10000000,65,144,0
2,4120,312,10000000,65,144,0
2,4273,342,10000000,65,144,0
2,4426,305,10000000,65,144,0
2,4578,282,10000000,65,144,0
2,4731,256,10000000,65,144,0
2,4883,276,10000000,65,144,0
2,5036,251,10000000,65,144,0
2,5188,255,10000000,65,144,0
2,5341,236,10000000,65,144,0
2,5494,232,10000000,65,144,0
2,5646,204,10000000,65,144,0
2,5799,203,10000000,65,144,0
2,5951,186,10000000,65,144,0
2,6104,197,10000000,65,144,0
2,6257,202,10000000,65,144,0
2,6409,163,10000000,65,144,0
2,6562,150,10000000,65,144,0
2,6714,172,10000000,65,144,0
2,6867,163,10000000,65,144,0
2,7020,149,10000000,65,144,0
2,7172,143,10000000,65,144,0
2,7325,125,10000000,65,144,0
2,7477,144,10000000,65,144,0
2,7630,138,10000000,65,144,0
2,7782,127,10000000,65,144,0
2,7935,98,10000000,65,144,0
2,8088,93,10000000,65,144,0
2,8240,107,10000000,65,144,0
2,8393,92,10000000,65,144,0
2,8545,86,10000000,65,144,0
2,8698,96,10000000,65,144,0
2,8851,84,10000000,65,144,0
2,9003,95,10000000,65,144,0
2,9156,82,10000000,65,144,0
2,9308,84,10000000,65,144,0
2,9461,79,10000000,65,144,0
2,9614,74,10000000,65,144,0
2,9766,69,10000000,65,144,0
2,9919,69,10000000,65,144,0
2,10071,52,10000000,65,144,0
2,10224,57,10000000,65,144,0
2,10376,63,10000000,65,144,0
2,10529,53,10000000,65,144,0
2,10682,57,10000000,65,144,0
2,10834,46,10000000,65,144,0
2,10987,53,10000000,65,144,0
2,11139,50,10000000,65,144,0
2,11292,46,10000000,65,144,0
2,11445,35,10000000,65,144,0
2,11597,43,10000000,65,144,0
2,11750,44,10000000,65,144,0
2,11902,46,10000000,65,144,0
2,12055,46,10000000,65,144,0
2,12208,27,10000000,65,144,0
2,12360,42,10000000,65,144,0
2,12513,33,10000000,65,144,0
2,12665,35,10000000,65,144,0
2,12818,35,10000000,65,144,0
2,12970,44,10000000,65,144,0
2,13123,42,10000000,65,144,0
2,13276,31,10000000,65,144,0
2,13428,27,10000000,65,144,0
2,13581,35,10000000,65,144,0
2,13733,40,10000000,65,144,0
2,13886,40,10000000,65,144,0
2,14039,25,10000000,65,144,0
2,14191,26,10000000,65,144,0
