Zeit (s) Hg 1 1.45 1.51 Test;Spannung, Ch A (V) Hg 1 1.45 1.51 Test;Spannung, Ch B (V) Hg 1 1.45 1.51 Test;Zeit (s) Hg 2 1.45 1.51 Test;Spannung, Ch A (V) Hg 2 1.45 1.51 Test;Spannung, Ch B (V) Hg 2 1.45 1.51 Test;Zeit (s) Hg 3 1.45 1.51;Spannung, Ch A (V) Hg 3 1.45 1.51;Spannung, Ch B (V) Hg 3 1.45 1.51;Zeit (s) Hg 4 1.68 1.51;Spannung, Ch A (V) Hg 4 1.68 1.51;Spannung, Ch B (V) Hg 4 1.68 1.51;Zeit (s) Hg 5 1.11 1.51;Spannung, Ch A (V) Hg 5 1.11 1.51;Spannung, Ch B (V) Hg 5 1.11 1.51;Zeit (s) Hg 6 1.1 1.78;Spannung, Ch A (V) Hg 6 1.1 1.78;Spannung, Ch B (V) Hg 6 1.1 1.78;Zeit (s) Hg 7 1.32 1.53;Spannung, Ch A (V) Hg 7 1.32 1.53;Spannung, Ch B (V) Hg 7 1.32 1.53;Zeit (s) Ne 1 9.62 0.78;Spannung, Ch A (V) Ne 1 9.62 0.78;Spannung, Ch B (V) Ne 1 9.62 0.78;Zeit (s) Messreihe #15;Spannung, Ch A (V) Messreihe #15;Spannung, Ch B (V) Messreihe #15
0,000;1,270;4,248;0,000;1,980;5,592;0,000;0,502;0,042;-6,939E-18;0,502;0,027;0,000;0,505;0,027;1,000E-10;0,503;0,040;0,000;0,504;0,032;0,000;0,257;0,047;0,000;0,258;0,047
0,020;0,464;1,372;0,020;0,420;1,181;0,020;0,508;0,043;0,020;0,516;0,064;0,020;0,510;0,028;0,020;0,510;0,042;0,020;0,509;0,033;0,020;0,263;0,045;0,020;0,264;0,047
0,040;0,152;0,075;0,040;0,091;0,196;0,040;0,512;0,044;0,040;0,526;0,042;0,040;0,515;0,029;0,040;0,516;0,041;0,040;0,515;0,036;0,040;0,269;0,046;0,040;0,270;0,046
0,060;0,084;-0,079;0,060;0,056;-0,022;0,060;0,519;0,047;0,060;0,529;0,033;0,060;0,520;0,030;0,060;0,521;0,040;0,060;0,520;0,034;0,060;0,275;0,047;0,060;0,276;0,045
0,080;0,033;1,438;0,080;0,028;-0,017;0,080;0,525;0,048;0,080;0,531;0,031;0,080;0,526;0,032;0,080;0,528;0,044;0,080;0,526;0,033;0,080;0,280;0,044;0,080;0,282;0,041
0,100;0,053;1,867;0,100;0,081;0,196;0,100;0,530;0,048;0,100;0,537;0,039;0,100;0,532;0,034;0,100;0,534;0,044;0,100;0,531;0,034;0,100;0,287;0,047;0,100;0,288;0,041
0,120;0,048;1,116;0,120;0,147;0,196;0,120;0,535;0,048;0,120;0,541;0,038;0,120;0,537;0,035;0,120;0,539;0,042;0,120;0,536;0,036;0,120;0,293;0,046;0,120;0,293;0,043
0,140;0,050;0,110;0,140;0,104;0,013;0,140;0,540;0,050;0,140;0,546;0,040;0,140;0,542;0,030;0,140;0,544;0,043;0,140;0,542;0,035;0,140;0,299;0,045;0,140;0,299;0,046
0,160;0,100;0,502;0,160;0,074;-0,027;0,160;0,545;0,050;0,160;0,554;0,041;0,160;0,548;0,033;0,160;0,549;0,046;0,160;0,547;0,035;0,160;0,304;0,047;0,160;0,305;0,048
0,180;0,055;0,072;0,180;0,060;-0,013;0,180;0,549;0,049;0,180;0,556;0,037;0,180;0,553;0,034;0,180;0,553;0,041;0,180;0,552;0,036;0,180;0,310;0,045;0,180;0,311;0,052
0,200;0,060;-0,054;0,200;0,109;0,198;0,200;0,555;0,052;0,200;0,567;0,043;0,200;0,558;0,032;0,200;0,560;0,043;0,200;0,558;0,037;0,200;0,316;0,046;0,200;0,317;0,049
0,220;0,080;0,060;0,220;0,129;0,150;0,220;0,560;0,054;0,220;0,555;0,016;0,220;0,564;0,033;0,220;0,567;0,049;0,220;0,563;0,036;0,220;0,322;0,046;0,220;0,323;0,046
0,240;0,098;0,010;0,240;0,071;-0,015;0,240;0,567;0,055;0,240;0,567;0,041;0,240;0,569;0,032;0,240;0,574;0,045;0,240;0,568;0,036;0,240;0,328;0,045;0,240;0,329;0,046
0,260;0,076;-9,485E-4;0,260;0,077;0,016;0,260;0,572;0,055;0,260;0,564;0,029;0,260;0,575;0,031;0,260;0,580;0,046;0,260;0,574;0,038;0,260;0,334;0,047;0,260;0,335;0,045
0,280;0,082;0,007;0,280;0,082;0,021;0,280;0,577;0,054;0,280;0,559;0,019;0,280;0,581;0,032;0,280;0,585;0,045;0,280;0,579;0,038;0,280;0,339;0,046;0,280;0,340;0,046
0,300;0,087;0,055;0,300;0,087;0,022;0,300;0,582;0,063;0,300;0,562;0,031;0,300;0,586;0,031;0,300;0,591;0,047;0,300;0,584;0,037;0,300;0,345;0,046;0,300;0,347;0,047
0,320;0,092;0,035;0,320;0,093;0,023;0,320;0,588;0,058;0,320;0,567;0,038;0,320;0,591;0,031;0,320;0,601;0,058;0,320;0,590;0,039;0,320;0,352;0,047;0,320;0,352;0,045
0,340;0,098;0,022;0,340;0,099;0,023;0,340;0,594;0,056;0,340;0,571;0,032;0,340;0,597;0,032;0,340;0,624;0,085;0,340;0,595;0,040;0,340;0,357;0,045;0,340;0,358;0,045
0,360;0,103;0,016;0,360;0,104;0,024;0,360;0,600;0,056;0,360;0,557;0,004;0,360;0,602;0,032;0,360;0,686;0,190;0,360;0,601;0,040;0,360;0,363;0,046;0,360;0,364;0,044
0,380;0,108;0,022;0,380;0,109;0,024;0,380;0,605;0,056;0,380;0,563;0,036;0,380;0,608;0,033;0,380;0,703;0,070;0,380;0,606;0,084;0,380;0,369;0,046;0,380;0,370;0,043
0,400;0,114;0,023;0,400;0,115;0,024;0,400;0,611;0,055;0,400;0,573;0,049;0,400;0,613;0,033;0,400;0,705;0,051;0,400;0,611;0,092;0,400;0,375;0,045;0,400;0,376;0,044
0,420;0,120;0,026;0,420;0,120;0,024;0,420;0,616;0,056;0,420;0,582;0,040;0,420;0,618;0,032;0,420;0,706;0,046;0,420;0,616;0,046;0,420;0,381;0,047;0,420;0,382;0,045
0,440;0,137;0,051;0,440;0,125;0,025;0,440;0,622;0,055;0,440;0,601;0,073;0,440;0,623;0,033;0,440;0,703;0,042;0,440;0,622;0,042;0,440;0,387;0,046;0,440;0,388;0,047
0,460;0,130;0,009;0,460;0,131;0,025;0,460;0,627;0,052;0,460;0,613;0,048;0,460;0,628;0,034;0,460;0,704;0,045;0,460;0,627;0,040;0,460;0,393;0,046;0,460;0,394;0,052
0,480;0,137;0,026;0,480;0,136;0,027;0,480;0,632;0,054;0,480;0,605;0,024;0,480;0,634;0,033;0,480;0,706;0,045;0,480;0,632;0,042;0,480;0,399;0,047;0,480;0,400;0,045
0,500;0,141;0,023;0,500;0,141;0,029;0,500;0,638;0,055;0,500;0,616;0,047;0,500;0,639;0,035;0,500;0,709;0,049;0,500;0,637;0,044;0,500;0,405;0,041;0,500;0,406;0,045
0,520;0,165;0,095;0,520;0,147;0,026;0,520;0,643;0,054;0,520;0,620;0,044;0,520;0,644;0,035;0,520;0,710;0,047;0,520;0,643;0,047;0,520;0,411;0,042;0,520;0,412;0,045
0,540;0,175;0,053;0,540;0,152;0,025;0,540;0,648;0,054;0,540;0,622;0,041;0,540;0,650;0,035;0,540;0,715;0,053;0,540;0,648;0,043;0,540;0,417;0,046;0,540;0,418;0,045
0,560;0,161;0,010;0,560;0,158;0,026;0,560;0,652;0,054;0,560;0,622;0,034;0,560;0,655;0,035;0,560;0,718;0,049;0,560;0,653;0,045;0,560;0,422;0,045;0,560;0,424;0,046
0,580;0,163;0,019;0,580;0,164;0,026;0,580;0,658;0,053;0,580;0,641;0,076;0,580;0,660;0,036;0,580;0,720;0,048;0,580;0,659;0,045;0,580;0,429;0,047;0,580;0,430;0,046
0,600;0,175;0,049;0,600;0,169;0,026;0,600;0,664;0,055;0,600;0,650;0,045;0,600;0,665;0,013;0,600;0,722;0,049;0,600;0,664;0,043;0,600;0,434;0,046;0,600;0,436;0,046
0,620;0,205;0,130;0,620;0,175;0,027;0,620;0,668;0,053;0,620;0,639;0,020;0,620;0,672;-0,033;0,620;0,725;0,053;0,620;0,669;0,044;0,620;0,441;0,047;0,620;0,441;0,046
0,640;0,180;-0,015;0,640;0,180;0,026;0,640;0,674;0,054;0,640;0,640;0,035;0,640;0,677;0,010;0,640;0,730;0,057;0,640;0,677;0,052;0,640;0,446;0,047;0,640;0,447;0,046
0,660;0,221;0,112;0,660;0,185;0,026;0,660;0,679;0,053;0,660;0,644;0,049;0,660;0,682;0,298;0,660;0,735;0,059;0,660;0,685;0,050;0,660;0,452;0,046;0,660;0,453;0,046
0,680;0,260;0,205;0,680;0,191;0,027;0,680;0,684;0,054;0,680;0,641;0,031;0,680;0,688;0,289;0,680;0,742;0,063;0,680;0,689;0,045;0,680;0,458;0,047;0,680;0,459;0,046
0,700;0,236;0,052;0,700;0,196;0,027;0,700;0,691;0,056;0,700;0,653;0,058;0,700;0,693;0,127;0,700;0,745;0,057;0,700;0,693;0,048;0,700;0,464;0,047;0,700;0,465;0,046
0,720;0,261;0,173;0,720;0,201;0,027;0,720;0,695;0,054;0,720;0,664;0,059;0,720;0,698;0,039;0,720;0,748;0,057;0,720;0,697;0,046;0,720;0,470;0,047;0,720;0,471;0,047
0,740;0,212;-0,016;0,740;0,206;0,027;0,740;0,701;0,055;0,740;0,675;0,055;0,740;0,704;0,042;0,740;0,752;0,061;0,740;0,702;0,046;0,740;0,476;0,047;0,740;0,477;0,046
0,760;0,264;0,161;0,760;0,212;0,028;0,760;0,706;0,056;0,760;0,678;0,049;0,760;0,709;0,044;0,760;0,759;0,065;0,760;0,707;0,046;0,760;0,482;0,046;0,760;0,483;0,044
0,780;0,256;0,123;0,780;0,218;0,028;0,780;0,711;0,054;0,780;0,685;0,046;0,780;0,715;0,045;0,780;0,760;0,058;0,780;0,712;0,049;0,780;0,488;0,047;0,780;0,489;0,048
0,800;0,235;0,049;0,800;0,223;0,027;0,800;0,716;0,056;0,800;0,703;0,083;0,800;0,721;0,045;0,800;0,764;0,063;0,800;0,718;0,050;0,800;0,494;0,047;0,800;0,495;0,047
0,820;0,244;0,024;0,820;0,228;0,028;0,820;0,720;0,053;0,820;0,712;0,058;0,820;0,726;0,046;0,820;0,768;0,064;0,820;0,723;0,049;0,820;0,500;0,046;0,820;0,500;0,044
0,840;0,239;0,023;0,840;0,234;0,028;0,840;0,726;0,059;0,840;0,713;0,042;0,840;0,732;0,049;0,840;0,773;0,070;0,840;0,729;0,050;0,840;0,506;0,047;0,840;0,507;0,047
0,860;0,240;0,020;0,860;0,240;0,029;0,860;0,732;0,060;0,860;0,712;0,035;0,860;0,737;0,049;0,860;0,777;0,058;0,860;0,734;0,047;0,860;0,512;0,047;0,860;0,513;0,047
0,880;0,244;0,026;0,880;0,245;0,027;0,880;0,738;0,060;0,880;0,716;0,050;0,880;0,742;0,052;0,880;0,780;0,067;0,880;0,739;0,052;0,880;0,518;0,054;0,880;0,519;0,045
0,900;0,275;0,144;0,900;0,250;0,028;0,900;0,742;0,061;0,900;0,726;0,063;0,900;0,748;0,053;0,900;0,784;0,072;0,900;0,745;0,053;0,900;0,523;0,048;0,900;0,524;0,047
0,920;0,295;0,119;0,920;0,255;0,028;0,920;0,747;0,060;0,920;0,735;0,054;0,920;0,753;0,054;0,920;0,791;0,078;0,920;0,750;0,053;0,920;0,529;0,047;0,920;0,530;0,046
0,940;0,271;0,020;0,940;0,261;0,029;0,940;0,752;0,062;0,940;0,739;0,049;0,940;0,758;0,054;0,940;0,795;0,074;0,940;0,755;0,056;0,940;0,535;0,047;0,940;0,537;0,046
0,960;0,271;0,025;0,960;0,266;0,029;0,960;0,758;0,059;0,960;0,743;0,051;0,960;0,764;0,056;0,960;0,796;0,074;0,960;0,761;0,057;0,960;0,541;0,047;0,960;0,542;0,046
0,980;0,306;0,158;0,980;0,271;0,029;0,980;0,763;0,065;0,980;0,754;0,063;0,980;0,769;0,058;0,980;0,803;0,084;0,980;0,766;0,057;0,980;0,547;0,046;0,980;0,548;0,046
1,000;0,313;0,083;1,000;0,277;0,029;1,000;0,770;0,068;1,000;0,752;0,045;1,000;0,774;0,060;1,000;0,808;0,083;1,000;0,771;0,059;1,000;0,553;0,048;1,000;0,554;0,047
1,020;0,366;0,248;1,020;0,282;0,029;1,020;0,775;0,067;1,020;0,759;0,061;1,020;0,780;0,063;1,020;0,812;0,088;1,020;0,777;0,062;1,020;0,559;0,047;1,020;0,560;0,046
1,040;0,287;0,002;1,040;0,287;0,029;1,040;0,781;0,070;1,040;0,757;0,042;1,040;0,785;0,064;1,040;0,818;0,092;1,040;0,782;0,063;1,040;0,565;0,047;1,040;0,566;0,046
1,060;0,317;0,123;1,060;0,293;0,030;1,060;0,786;0,070;1,060;0,766;0,059;1,060;0,791;0,067;1,060;0,824;0,096;1,060;0,788;0,064;1,060;0,571;0,048;1,060;0,572;0,048
1,080;0,356;0,251;1,080;0,299;0,031;1,080;0,791;0,073;1,080;0,769;0,064;1,080;0,796;0,069;1,080;0,828;0,096;1,080;0,792;0,066;1,080;0,577;0,047;1,080;0,578;0,045
1,100;0,362;0,209;1,100;0,303;0,030;1,100;0,796;0,075;1,100;0,769;0,057;1,100;0,801;0,073;1,100;0,833;0,098;1,100;0,798;0,068;1,100;0,583;0,048;1,100;0,584;0,047
1,120;0,323;-0,033;1,120;0,309;0,031;1,120;0,801;0,077;1,120;0,773;0,051;1,120;0,807;0,075;1,120;0,837;0,103;1,120;0,803;0,070;1,120;0,589;0,048;1,120;0,590;0,047
1,140;0,323;0,060;1,140;0,314;0,031;1,140;0,806;0,079;1,140;0,780;0,062;1,140;0,812;0,077;1,140;0,842;0,105;1,140;0,809;0,072;1,140;0,595;0,047;1,140;0,595;0,045
1,160;0,350;0,066;1,160;0,319;0,031;1,160;0,812;0,083;1,160;0,783;0,059;1,160;0,817;0,080;1,160;0,846;0,111;1,160;0,814;0,075;1,160;0,601;0,048;1,160;0,601;0,047
1,180;0,331;0,025;1,180;0,325;0,032;1,180;0,817;0,085;1,180;0,794;0,072;1,180;0,823;0,084;1,180;0,854;0,123;1,180;0,820;0,077;1,180;0,606;0,047;1,180;0,608;0,042
1,200;0,455;0,367;1,200;0,330;0,032;1,200;0,824;0,090;1,200;0,799;0,069;1,200;0,829;0,087;1,200;0,861;0,157;1,200;0,825;0,082;1,200;0,613;0,048;1,200;0,613;0,041
1,220;0,336;-0,041;1,220;0,336;0,033;1,220;0,828;0,090;1,220;0,809;0,083;1,220;0,833;0,090;1,220;0,865;0,152;1,220;0,831;0,090;1,220;0,618;0,048;1,220;0,619;0,047
1,240;0,340;0,034;1,240;0,341;0,033;1,240;0,833;0,094;1,240;0,816;0,081;1,240;0,839;0,094;1,240;0,871;0,137;1,240;0,836;0,087;1,240;0,623;0,042;1,240;0,625;0,046
1,260;0,346;0,047;1,260;0,346;0,035;1,260;0,839;0,099;1,260;0,828;0,088;1,260;0,845;0,097;1,260;0,877;0,139;1,260;0,841;0,089;1,260;0,629;0,045;1,260;0,630;0,047
1,280;0,434;0,309;1,280;0,360;0,054;1,280;0,844;0,101;1,280;0,830;0,077;1,280;0,850;0,102;1,280;0,882;0,143;1,280;0,846;0,091;1,280;0,635;0,047;1,280;0,636;0,048
1,300;0,457;0,131;1,300;0,385;0,112;1,300;0,850;0,105;1,300;0,834;0,082;1,300;0,856;0,102;1,300;0,885;0,141;1,300;0,852;0,095;1,300;0,641;0,047;1,300;0,642;0,047
1,320;0,457;0,113;1,320;0,435;0,147;1,320;0,855;0,110;1,320;0,839;0,089;1,320;0,861;0,109;1,320;0,888;0,148;1,320;0,857;0,099;1,320;0,647;0,048;1,320;0,648;0,050
1,340;0,440;0,104;1,340;0,459;0,128;1,340;0,861;0,115;1,340;0,847;0,094;1,340;0,867;0,115;1,340;0,894;0,156;1,340;0,863;0,103;1,340;0,653;0,048;1,340;0,654;0,048
1,360;0,373;0,020;1,360;0,435;0,055;1,360;0,866;0,118;1,360;0,850;0,094;1,360;0,872;0,122;1,360;0,898;0,159;1,360;0,868;0,107;1,360;0,659;0,048;1,360;0,660;0,048
1,380;0,379;0,057;1,380;0,605;0,962;1,380;0,871;0,123;1,380;0,856;0,097;1,380;0,877;0,126;1,380;0,902;0,161;1,380;0,873;0,111;1,380;0,664;0,048;1,380;0,666;0,049
1,400;0,439;0,256;1,400;0,609;0,374;1,400;0,877;0,130;1,400;0,861;0,106;1,400;0,883;0,131;1,400;0,905;0,166;1,400;0,879;0,116;1,400;0,671;0,047;1,400;0,671;0,045
1,420;0,406;0,051;1,420;0,465;-0,023;1,420;0,882;0,134;1,420;0,867;0,108;1,420;0,889;0,137;1,420;0,910;0,175;1,420;0,884;0,120;1,420;0,677;0,048;1,420;0,677;0,046
1,440;0,467;0,267;1,440;0,492;0,139;1,440;0,887;0,138;1,440;0,870;0,111;1,440;0,895;0,143;1,440;0,915;0,179;1,440;0,889;0,125;1,440;0,682;0,047;1,440;0,684;0,046
1,460;0,624;0,709;1,460;0,544;0,215;1,460;0,892;0,143;1,460;0,875;0,112;1,460;0,899;0,148;1,460;0,919;0,184;1,460;0,894;0,130;1,460;0,689;0,048;1,460;0,689;0,043
1,480;0,473;-0,029;1,480;0,486;0,027;1,480;0,897;0,150;1,480;0,885;0,136;1,480;0,905;0,153;1,480;0,924;0,193;1,480;0,900;0,136;1,480;0,694;0,048;1,480;0,695;0,047
1,500;0,484;0,134;1,500;0,460;0,045;1,500;0,902;0,155;1,500;0,892;0,138;1,500;0,910;0,161;1,500;0,929;0,198;1,500;0,906;0,141;1,500;0,700;0,048;1,500;0,701;0,046
1,520;0,485;0,137;1,520;0,507;0,207;1,520;0,907;0,161;1,520;0,897;0,157;1,520;0,916;0,168;1,520;0,933;0,204;1,520;0,910;0,147;1,520;0,706;0,048;1,520;0,707;0,047
1,540;0,481;0,117;1,540;0,541;0,207;1,540;0,912;0,169;1,540;0,898;0,145;1,540;0,921;0,175;1,540;0,936;0,206;1,540;0,916;0,153;1,540;0,712;0,048;1,540;0,713;0,048
1,560;0,452;0,060;1,560;0,536;0,099;1,560;0,918;0,177;1,560;0,902;0,145;1,560;0,927;0,181;1,560;0,940;0,181;1,560;0,922;0,178;1,560;0,718;0,047;1,560;0,719;0,053
1,580;0,482;0,176;1,580;0,444;-0,064;1,580;0,923;0,185;1,580;0,905;0,143;1,580;0,932;0,188;1,580;0,943;0,210;1,580;0,927;0,170;1,580;0,724;0,049;1,580;0,725;0,049
